filename,before_encoding_file_size,after_encoding_file_size,encoding_date,status,processing_time_seconds,cloudinary_public_id
azerbaycan-kurtarma-ekibi-ulkesine-dondu-HJzk.mp4,123639834,0,2025-06-11T11:47:17.562736,failed: Error parsing server response (413) - b'<html>\r\n<head><title>413 Request Entity Too Large</title></head>\r\n<body>\r\n<center><h1>413 Request Entity Too Large</h1></center>\r\n<hr><center>nginx</center>\r\n</body>\r\n</html>\r\n'. Got - Expecting value: line 1 column 1 (char 0),24.92,video_optimizer/1749638812_azerbaycan-kurtarma-ekibi-ulkesine-dondu-HJzk
mehmetcikten-depremzede-9-yasindaki-emire-surpriz-dogum-gunu-kutlamasi-klmH.mp4,13888460,1683919,2025-06-11T11:47:19.624320,success,15.96,video_optimizer/1749638823_mehmetcikten-depremzede-9-yasindaki-emire-surpriz-dogum-gunu-kutlamasi-klmH
lpg-tanki-bomba-gibi-patladi-savrulan-parcalar-onu-hayattan-boyle-kopardi-jiHe.mp4,11272796,648262,2025-06-11T11:47:39.437522,success,9.18,video_optimizer/1749638850_lpg-tanki-bomba-gibi-patladi-savrulan-parcalar-onu-hayattan-boyle-kopardi-jiHe
taksiciler-kontaklarini-depremzedeler-icin-cevirdi-8JYQ.mp4,31410735,7220571,2025-06-11T11:47:50.795386,success,44.21,video_optimizer/1749638826_taksiciler-kontaklarini-depremzedeler-icin-cevirdi-8JYQ
son-dakika-bakan-kasapoglu-duyurdu-super-lig-maclari-sifresiz-yayinlanacak-B3NK.mp4,22349641,3798709,2025-06-11T11:48:00.801185,success,20.44,video_optimizer/1749638860_son-dakika-bakan-kasapoglu-duyurdu-super-lig-maclari-sifresiz-yayinlanacak-B3NK
kopegini-5-kez-buldu-6-kez-caldilar-rfyW.mp4,33319218,7565684,2025-06-11T11:48:29.088095,success,37.81,video_optimizer/1749638871_kopegini-5-kez-buldu-6-kez-caldilar-rfyW
adiyamanda-yikilan-abdullah-gunaydin-camii-minaresi-apartmani-ikiye-boldu-xXDQ.mp4,70446663,19638950,2025-06-11T11:48:52.492887,success,94.73,video_optimizer/1749638837_adiyamanda-yikilan-abdullah-gunaydin-camii-minaresi-apartmani-ikiye-boldu-xXDQ
abdden-evsizlere-buyuk-sok-toplu-olarak-yasadiklari-bolge-yasaklandi-79ze.mp4,23025874,6921653,2025-06-11T11:49:07.460906,success,55.92,video_optimizer/1749638891_abdden-evsizlere-buyuk-sok-toplu-olarak-yasadiklari-bolge-yasaklandi-79ze
hatayda-ciftlik-4-metre-asagi-coktu-sahibi-kiyamet-kopuyor-zannettim-dedi-OpYO.mp4,44139352,10699234,2025-06-11T11:49:33.511411,success,63.08,video_optimizer/1749638910_hatayda-ciftlik-4-metre-asagi-coktu-sahibi-kiyamet-kopuyor-zannettim-dedi-OpYO
sultanbeylide-itfaiyeye-yol-vermeyen-surucuye-para-cezasi-Z19n.mp4,26506450,5758639,2025-06-11T11:49:36.410416,success,33.68,video_optimizer/1749638942_sultanbeylide-itfaiyeye-yol-vermeyen-surucuye-para-cezasi-Z19n
